Number,District,Mukim,Kampong,Code
434,Tutong,Mukim Telisai,Kampong Negara Telisai,TC1345
1637,Tutong,Mukim Telisai,Kampong Pangkalan Dalai,TC3745
440,Tutong,Mukim Telisai,Kampong Penapar Danau,TC2545
438,Tutong,Mukim Telisai,Kampong Sungai Paku,TC2145
435,Tutong,Mukim Telisai,Kampong Telamba,TC1545
433,Tutong,Mukim Telisai,Kampong Telisai,TC1145
442,Tutong,Mukim Telisai,Kampong Tumpuan Ugas,TC2945
1639,Tutong,Mukim Telisai,Kampung Bukit Pasir,TC4145
1638,Tutong,Mukim Telisai,Kampung Penyatang,TC3945
444,Tutong,Mukim Telisai,Perumahan Negara Bukit Beruang,TC3345
471,Tutong,Mukim Ukong,Kampong Bukit,TF3147
479,Tutong,Mukim Ukong,Kampong Long Mayan,TF4747
470,Tutong,Mukim Ukong,Kampong Pak Bidang,TF2947
,Tutong,Mukim Ukong,Kampong Pengkalan Ra'an,TF1347
466,Tutong,Mukim Ukong,Kampong Sungai Damit Pemadang,TF2147
461,Tutong,Mukim Ukong,Kampong Ukong,TF1147
3,Government Departments,Jabatan Perdana Menteri,Adat Istiadat Negara,BS8610
2,Government Departments,Jabatan Perdana Menteri,JPM (Bangunan Setiausaha Kerajaan),BS8610
1,Government Departments,Jabatan Perdana Menteri,JPM (Istana Nurul Iman),BA1000
32,Government Departments,Kementerian Hal Ehwal Dalam Negeri,Jabatan Bandaran (Bandar Seri Begawan),BS8810
41,Government Departments,Kementerian Hal Ehwal Dalam Negeri,Jabatan Buruh,BB3910
38,Government Departments,Kementerian Hal Ehwal Dalam Negeri,Jabatan Daerah Temburong,PA1351
37,Government Departments,Kementerian Hal Ehwal Dalam Negeri,Jabatan Daerah Tutong,TA1141
39,Government Departments,Kementerian Hal Ehwal Dalam Negeri,Jabatan Imigresen dan Pendaftaran,BB3910
42,Government Departments,Kementerian Hal Ehwal Dalam Negeri,Jabatan Penjara,BG3122
40,Government Departments,Kementerian Hal Ehwal Dalam Negeri,Jabatan Perkhidmatan Bomba,BB3510
31,Government Departments,Kementerian Hal Ehwal Dalam Negeri,Kementerian Hal Ehwal Dalam Negeri,BS8610
21,Government Departments,Kementerian Hal Ehwal Luar Negeri,Kementerian Hal Ehwal Luar Negeri,BD2710
22,Government Departments,Kementerian Hal Ehwal Luar Negeri,Pusat Persidangan Antarabangsa,BB3910
67,Government Departments,Kementerian Hal Ehwal Ugama,Institut Pengajian Islam Brunei Darussalam,BA1712
69,Government Departments,Kementerian Hal Ehwal Ugama,Jabatan Hal Ehwal Masjid,BA2110
65,Government Departments,Kementerian Hal Ehwal Ugama,Jabatan Hal Ehwal Syariah,BS8510
68,Government Departments,Kementerian Hal Ehwal Ugama,Jabatan Urusan Haji,BA2110
63,Government Departments,Kementerian Hal Ehwal Ugama,Kementerian Hal Ehwal Ugama,BB3910
70,Government Departments,Kementerian Hal Ehwal Ugama,Pejabat Kadi Besar,BS8510
66,Government Departments,Kementerian Hal Ehwal Ugama,Pejabat Pengajian Islam,BD1310
64,Government Departments,Kementerian Hal Ehwal Ugama,Pusat Dakwah Islamiah,BB4310
87,Government Departments,Kementerian Kesihatan,Hospital Ripas,BA1710
86,Government Departments,Kementerian Kesihatan,Jabatan Perubatan dan Kesihatan,BB3510
85,Government Departments,Kementerian Kesihatan,Kementerian Kesihatan,BB3910
26,Government Departments,Kementerian Kewangan,Agensi Pelaburan Brunei,BS8610
24,Government Departments,Kementerian Kewangan,Jabatan Perbendaharaan,BS8610
29,Government Departments,Kementerian Kewangan,Jabatan Teknologi Maklumat dan Stor Negara,BE1110
27,Government Departments,Kementerian Kewangan,Kastam dan Eksais Diraja,BS8810
23,Government Departments,Kementerian Kewangan,Kementerian Kewangan,BS8710
25,Government Departments,Kementerian Kewangan,Lembaga Mata Wang,BS8610
28,Government Departments,Kementerian Kewangan,Perancangan dan Kemajuan Ekonomi,BS8710
30,Government Departments,Kementerian Kewangan,Tabung Amanah Pekerja,BS8710
73,Government Departments,Kementerian Pembangunan,Jabatan Kemajuan Perumahan,BB3510
74,Government Departments,Kementerian Pembangunan,Jabatan Kerja Raya,BB3510
75,Government Departments,Kementerian Pembangunan,Jabatan Perancangan Bandar Dan Desa,BB3510
72,Government Departments,Kementerian Pembangunan,Jabatan Perkhidmatan Eletrik,BB3510
71,Government Departments,Kementerian Pembangunan,Kementerian Pembangunan,BB3510
76,Government Departments,Kementerian Pembangunan,Pejabat Tanah,BB3510
77,Government Departments,Kementerian Pembangunan,Pejabat Ukur,BB3510
51,Government Departments,Kementerian Pendidikan,Jabatan Kenaziran Sekolah-Sekolah,BB3510
46,Government Departments,Kementerian Pendidikan,Jabatan Kurikulum,BE1310
49,Government Departments,Kementerian Pendidikan,Jabatan Pendidikan Teknik,BE1310
44,Government Departments,Kementerian Pendidikan,Jabatan Pentadbiran dan Perkhidmatan-Perkidmatan,BB3510
45,Government Departments,Kementerian Pendidikan,Jabatan Peperiksaan,BB3510
47,Government Departments,Kementerian Pendidikan,Jabatan Perancangan dan Pemeliharaan Bangunan dan Kawasan,BB3510
50,Government Departments,Kementerian Pendidikan,Jabatan Perkembangan Kurikulum,BS8410
48,Government Departments,Kementerian Pendidikan,Jabatan Sekolah-Sekolah,BB3510
43,Government Departments,Kementerian Pendidikan,Kementerian Pendidikan,BB3510
52,Government Departments,Kementerian Pendidikan,Universiti Brunei Darussalam,BE1410
89,Government Departments,Kementerian Perhubungan,Jabatan Laut,BT1728
90,Government Departments,Kementerian Perhubungan,Jabatan Pelabuhan-Pelabuhan,BT1728
93,Government Departments,Kementerian Perhubungan,Jabatan Penerbangan Awan,BB2513
92,Government Departments,Kementerian Perhubungan,Jabatan Pengangkutan Darat,BE1110
94,Government Departments,Kementerian Perhubungan,Jabatan Perkhidmatan Pos,BB3510
91,Government Departments,Kementerian Perhubungan,Jabatan Telekom,BB3510
88,Government Departments,Kementerian Perhubungan,Kementerian Perhubungan,BB3510
59,Government Departments,Kementerian Perindustrian Dan Sumber-Sumber Utama,Badan Kemajuan Industri Brunei (BINA),BB3910
61,Government Departments,Kementerian Perindustrian Dan Sumber-Sumber Utama,Jabatan Perhutanan,BB3910
62,Government Departments,Kementerian Perindustrian Dan Sumber-Sumber Utama,Jabatan Perikanan,BB3910
60,Government Departments,Kementerian Perindustrian Dan Sumber-Sumber Utama,Jabatan Pertanian,BB3510
57,Government Departments,Kementerian Perindustrian Dan Sumber-Sumber Utama,Kementerian Perindustrian Dan Sumber-Sumber Utama,BB3910
58,Government Departments,Kementerian Perindustrian Dan Sumber-Sumber Utama,Semaun Holdings,BB3910
19,Government Departments,Kementerian Pertahanan,Angkatan Bersenjata DiRaja Brunei,BB3510
20,Government Departments,Kementerian Pertahanan,Unit Gurkha Simpanan,BD2917
54,Government Departments,Kementerian Undang-Undang,Jabatan Kehakiman,BA1910
56,Government Departments,Kementerian Undang-Undang,Jabatan Percetakan,BB3510
55,Government Departments,Kementerian Undang-Undang,Jabatan Undang-Undang,BA1910
53,Government Departments,Kementerian Undang-Undang,Kementerian Undang-Undang,BA1910
